,x,hx
0,0.0,0.42311344851453625
1,25.0,0.4218516746252443
2,50.0,0.42058484854193506
3,75.0,0.41931291424144657
4,100.0,0.4180358146768214
5,125.0,0.41675349175113585
6,150.0,0.41546588629046527
7,175.0,0.41417293801595345
8,200.0,0.4128745855149469
9,225.0,0.4115707662111573
10,250.0,0.4102614163338115
11,275.0,0.4089464708857464
12,300.0,0.4076258636104049
13,325.0,0.4062995269576868
14,350.0,0.4049673920486043
15,375.0,0.40362938863869346
16,400.0,0.40228544508012426
17,425.0,0.40093548828245584
18,450.0,0.3995794436719752
19,475.0,0.3982172351495572
20,500.0,0.3968487850469802
21,525.0,0.39547401408162713
22,550.0,0.39409284130949906
23,575.0,0.39270518407646404
24,600.0,0.3913109579676596
25,625.0,0.3899100767549628
26,650.0,0.38850245234243796
27,675.0,0.3870879947096651
28,700.0,0.38566661185284906
29,725.0,0.3842382097236016
30,750.0,0.3828026921652841
31,775.0,0.3813599608467909
32,800.0,0.379909915193647
33,825.0,0.37845245231628566
34,850.0,0.3769874669353652
35,875.0,0.37551485130397344
36,900.0,0.37403449512655995
37,925.0,0.3725462854744289
38,950.0,0.37105010669761074
39,975.0,0.3695458403329226
40,1000.0,0.3680333650080153
41,1025.0,0.3665125563411904
42,1050.0,0.3649832868367581
43,1075.0,0.3634454257756923
44,1100.0,0.3618988391013215
45,1125.0,0.3603433892997796
46,1150.0,0.3587789352749194
47,1175.0,0.35720533221737377
48,1200.0,0.35562243146742784
49,1225.0,0.35403008037134076
50,1250.0,0.35242812213073227
51,1275.0,0.350816395644622
52,1300.0,0.3491947353436798
53,1325.0,0.34756297101621314
54,1350.0,0.3459209276253853
55,1375.0,0.3442684251171189
56,1400.0,0.34260527821809983
57,1425.0,0.34093129622325274
58,1450.0,0.3392462827720122
59,1475.0,0.33755003561265945
60,1500.0,0.3358423463539426
61,1525.0,0.33412300020313035
62,1550.0,0.3323917756895886
63,1575.0,0.3306484443728907
64,1600.0,0.32889277053439414
65,1625.0,0.3271245108511285
66,1650.0,0.32534341405074174
67,1675.0,0.3235492205461472
68,1700.0,0.32174166204839677
69,1725.0,0.3199204611561774
70,1750.0,0.31808533092018826
71,1775.0,0.31623597438049933
72,1800.0,0.3143720840748206
73,1825.0,0.31249334151542196
74,1850.0,0.31059941663223417
75,1875.0,0.3086899671794261
76,1900.0,0.3067646381024979
77,1925.0,0.30482306086263994
78,1950.0,0.3028648527147892
79,1975.0,0.3008896159354549
80,2000.0,0.29889693699599007
81,2025.0,0.2968863856765371
82,2050.0,0.2948575141153745
83,2075.0,0.29280985578783464
84,2100.0,0.2907429244083253
85,2125.0,0.2886562127482811
86,2150.0,0.2865491913620649
87,2175.0,0.28442130721193076
88,2200.0,0.2822719821821309
89,2225.0,0.28010061147107845
90,2250.0,0.2779065618491449
91,2275.0,0.2756891697681525
92,2300.0,0.2734477393068824
93,2325.0,0.27118153993492766
94,2350.0,0.2688898040749276
95,2375.0,0.2665717244405825
96,2400.0,0.2642264511247968
97,2425.0,0.2618530884087636
98,2450.0,0.25945069125869813
99,2475.0,0.2570182614721391
100,2500.0,0.25455474343013584
101,2525.0,0.25205901940507425
102,2550.0,0.24952990436615588
103,2575.0,0.24696614021540914
104,2600.0,0.24436638937626928
105,2625.0,0.24172922764385993
106,2650.0,0.2390531361906738
107,2675.0,0.23633649260281808
108,2700.0,0.233577560799632
109,2725.0,0.23077447966238385
110,2750.0,0.22792525016473728
111,2775.0,0.22502772075723987
112,2800.0,0.22207957070828377
113,2825.0,0.21907829104228183
114,2850.0,0.21602116263887344
115,2875.0,0.21290523096041955
116,2900.0,0.20972727675300648
117,2925.0,0.20648378191075675
118,2950.0,0.20317088949371814
119,2975.0,0.19978435663124766
120,3000.0,0.19631949870518556
121,3025.0,0.19277112276152952
122,3050.0,0.1891334475049515
123,3075.0,0.18540000642849827
124,3100.0,0.181563529535076
125,3125.0,0.17761579758980925
126,3150.0,0.17354746070939575
127,3175.0,0.16934781004745497
128,3200.0,0.1650044869032474
129,3225.0,0.16050310700704493
130,3250.0,0.15582676776560597
131,3275.0,0.1509553907532696
132,3300.0,0.14586482696106715
133,3325.0,0.14052561143857037
134,3350.0,0.1349011840023353
135,3375.0,0.12894526775419052
136,3400.0,0.12259786261009903
137,3425.0,0.11577884349718
138,3450.0,0.10837714992504748
139,3475.0,0.10023119451264147
140,3500.0,0.09108986184950169
141,3525.0,0.0805239129307797
142,3550.0,0.06767950725331655
143,3575.0,0.05028568063501554
144,3600.0,0.0
